Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Lainnya,Lainnya,KOL & Affiliate Marketing,KOL & Affiliate Marketing,Tidak dicantumkan,N/A,N/A,Identify and target relevant KOLs & Affiliates for partnerships based on brand objectives and audience alignment.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85363961
Lainnya,Lainnya,Agency Trainee (Jakarta),Agency Trainee (Jakarta),Tidak dicantumkan,N/A,N/A,Excelerate your career with Agency Future Leadership.,N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/84862091
Sales,Sales,SPV SALES MARKETING,SPV SALES MARKETING,Rp 8.000.000 – Rp 10.000.000 per month,8000000,10000000,"SPV SALES MARKETING DOOR TO DOOR;2 tahun Freight Forwarding di Indonesia (Darat, Laut, Udara);JAKARTA UTARA",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85570888
Lainnya,Lainnya,Chatime Staff,Chatime Staff,Tidak dicantumkan,N/A,N/A,"Sebagai Chatime Staff, meracik minuman dengan kualitas teh terbaik dan menyajikannya kepada customer mampu memberikan ""simple happiness"". Setiap...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84893858
Lainnya,Lainnya,Koordinator SPG,Koordinator SPG,Tidak dicantumkan,N/A,N/A,"Melakukan pengaturan, pengawasan, pembinaan tim SPG (perekrutan, pelatihan, dan evaluasi kinerja), mencapai target penjualan dan promosi produk.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85491332
Lainnya,Lainnya,"Bancassurance Relationship Officer bank bjb, BWS, Bank Maspion All Area","Bancassurance Relationship Officer bank bjb, BWS, Bank Maspion All Area",Tidak dicantumkan,N/A,N/A,Representatif Equity Life penempatan di cabang Bank yang telah bekerja sama yaitu bank bjb berperan untuk melakukan pemasaran produk Bancassurance.,N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/84994295
Lainnya,Lainnya,Staff IT Analis & Programmer SAP,Staff IT Analis & Programmer SAP,Tidak dicantumkan,N/A,N/A,Staff IT Analis & Programmer SAP,N/A,N/A,N/A,sap,https://id.jobstreet.com/id/job/85684467
Management,Management,Operational Control Superintendent (Expat),Operational Control Superintendent (Expat),Tidak dicantumkan,N/A,N/A,responsible for optimizing mine operational efficiency and management of advanced short interval control systems (SIC). ,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85036847
Lainnya,Lainnya,Operator Audio Video,Operator Audio Video,Tidak dicantumkan,N/A,N/A,"Pengen cepat jadi manager, segera tunjukkan kemauan, kemampuan, keahlian, kerja keras, penuh pemikiran, dan aksi nyata dalam memajukan bisnis ini",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85381801
Sales,Sales,Sales and Operation Executive,Sales and Operation Executive,Tidak dicantumkan,N/A,N/A,"Sales & Operation Executive with strong Excel, Power BI, ERP experience; fluent in English, data-driven focus.",N/A,N/A,N/A,"excel,erp",https://id.jobstreet.com/id/job/85423800
Warehouse,Warehouse,WAREHOUSE MANAGER,WAREHOUSE MANAGER,Rp 10.000.000 – Rp 13.000.000 per month,10000000,13000000,join with Us!,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85373265
Lainnya,Lainnya,Senior Process Engineer,Senior Process Engineer,Tidak dicantumkan,N/A,N/A,Senior Process Engineer to lead engineering projects for Excelitas Batam,N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85166824
Lainnya,Lainnya,Live Stream Host/Hostess,Live Stream Host/Hostess,Tidak dicantumkan,N/A,N/A,- Berinteraksi secara aktif dalam live menjawab pertanyaan dan promosi produk,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84981652
Lainnya,Lainnya,Content Creator,Content Creator,Rp 5.500.000 – Rp 7.000.000 per month,5500000,7000000,"Kalau kamu suka dunia kreatif, update sama tren, dan pengen kerja bareng tim yang ambis tapi fun — yuk join di kita",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85546805
Guru,Guru,Export Import,Export Import,Tidak dicantumkan,N/A,N/A,Mengurusi dokumen ekport dan import,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85076621
Lainnya,Lainnya,ENGINEERING,ENGINEERING,Rp 4.500.000 – Rp 6.000.000 per month,4500000,6000000,ENGINEERING,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85604973
Admin,Admin,Executive Assistant to Director,Executive Assistant to Director,Rp 13.000.000 – Rp 15.000.000 per month,13000000,15000000,Executive Assistant to Director; Director’s Executive Secretary; Administrative Assistant to Director,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85093022
Sales,Sales,Sales Supervisor,Sales Supervisor,Tidak dicantumkan,N/A,N/A,"Sales Supervisor expands markets, manages clients, and develops sales. Requires 2-3 years’ experience, Bachelor's degree, English fluency, and SIM A.",N/A,N/A,Bachelor,N/A,https://id.jobstreet.com/id/job/85267379
Finance,Finance,Finance Tax Staff,Finance Tax Staff,Rp 5.500.000 – Rp 6.000.000 per month,5500000,6000000,"Perform general administrative tasks,  documentation thoroughly and accurately, in accordance with company policy and accepted accounting practices",N/A,N/A,N/A,accounting,https://id.jobstreet.com/id/job/84906195
Finance,Finance,Finance Staff,Finance Staff,Tidak dicantumkan,N/A,N/A,"We are looking for a detail-oriented, proactive Finance Staff to join our team and you will be responsible for supporting daily financial operations.",N/A,N/A,N/A,finance,https://id.jobstreet.com/id/job/85627172
Lainnya,Lainnya,Horticulturist,Horticulturist,Rp 4.800.000 – Rp 5.400.000 per month,4800000,5400000,"Tugas umum a.l. perencanaan sistem tanam, pengendalian hama & penyakit, pemupukan, serta mendukung pengembangan lanskap hijau yang sehat dan estetis.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84999695
Lainnya,Lainnya,Project Director,Project Director,Tidak dicantumkan,N/A,N/A,"Lead international design projects, manage cross-disciplinary teams, ensure quality, and maintain strong client relationships.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85229974
Lainnya,Lainnya,Rubber Maker,Rubber Maker,Tidak dicantumkan,N/A,N/A,Bergabunglah dengan kami PT Bonofactum di Bali! Peluang kerja stabil dan berkembang di industri perhiasan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85190799
Lainnya,Lainnya,COST CONTROL,COST CONTROL,Rp 3.000.000 – Rp 3.500.000 per month,3000000,3500000,Cost control adalah proses pengawasan dan pengendalian biaya ,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84862785
Lainnya,Lainnya,Quility Control (Construction),Quility Control (Construction),Tidak dicantumkan,N/A,N/A,"Quality-focused Construction QC role. Ensure excellence, contribute to company success. Competitive salary, great benefits.",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85266499
Akuntan,Akuntan,Staff Akunting,Staff Akunting,Rp 3.500.000 – Rp 4.000.000 per month,3500000,4000000,"Dibutuhkan Staff Akunting untuk mengelola keuangan & pajak. Teliti & jujur, lulusan S1 Akuntansi. Dapat BPJS Kesehatan dan Ketenagakerjaan.",N/A,N/A,S1,N/A,https://id.jobstreet.com/id/job/85186044
Finance,Finance,Kepala Administrasi dan Finance Pusat (Tangerang),Kepala Administrasi dan Finance Pusat (Tangerang),Tidak dicantumkan,N/A,N/A,Deskripsi Pekerjaan:  Membuat proyeksi serta monitoring BS. Melakukan pembayaran kebutuhan operasional serta memeriksanya. Membantu seluruh proses...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85479907
Management,Management,Quality Assurance Staff,Quality Assurance Staff,Tidak dicantumkan,N/A,N/A,To perform quality assurance data management & analysis.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85000167
Lainnya,Lainnya,Supervisor PPIC,Supervisor PPIC,Tidak dicantumkan,N/A,N/A,.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85679092
Sales,Sales,SALES EXECUTIVE,SALES EXECUTIVE,Rp 4.500.000 – Rp 4.500.001 per month,4500000,4500001,PT Karya Bintang Gemilang dengan brand Sentul Alaya merupakan perusahaan pengembang / developer yang menjual rumah untuk segmen kelas menengah atas.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85269464
Event,Event,MANAGER CLUB HOUSE,MANAGER CLUB HOUSE,Tidak dicantumkan,N/A,N/A,"Berpengalaman dalam pengelolaan fasilitas seperti kolam renang, gym, yoga, dan event space",N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85196103
Recruitment,Recruitment,Talent Acquisition Officer (Contract),Talent Acquisition Officer (Contract),Tidak dicantumkan,N/A,N/A,This position will handle end to end recruitment process to support company's growth,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85169790
Event,Event,Event Coordinator,Event Coordinator,Tidak dicantumkan,N/A,N/A,Bergabung dengan tim dinamis Grato Alpha Human! Peluang berkembang dalam lingkungan kerja inovatif. Paket kompetitif.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85182747
Lainnya,Lainnya,Estate and Landscape Coordinator,Estate and Landscape Coordinator,Tidak dicantumkan,N/A,N/A,PT Rucita Indah Sejahtera perusahaan pengembang yang terkemuka dengan menghasilkan produk property berkualitas & bernilai tinggi.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85269912
Project Manager,Project Manager,General Service Project Manager (Civil),General Service Project Manager (Civil),Tidak dicantumkan,N/A,N/A,Mengelola dan mengawasi pelaksanaan proyek-proyek fasilitas umum dan layanan pendukung perusahaan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85169610
Sales,Sales,After Sales Specialist,After Sales Specialist,Rp 12.000.000 – Rp 15.000.000 per month,12000000,15000000,"After sales specialist, 3 years experienced, able to speak & write English, experience in smart phone industry",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85544784
Lainnya,Lainnya,Enterprise Intelligence Manager,Enterprise Intelligence Manager,Tidak dicantumkan,N/A,N/A,Full time WFO position for holding corporate,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85353565
Lainnya,Lainnya,Merchandising Supervisor Jakarta,Merchandising Supervisor Jakarta,Tidak dicantumkan,N/A,N/A,Memimpin tim TL & MDS dalam pencapaian target dan pemenuhan tugas serta tanggung jawab. Menciptakan strategi penjualan baru.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85617646
Lainnya,Lainnya,quantity surveyor for Structure Highrise Building,quantity surveyor for Structure Highrise Building,Rp 6.000.000 – Rp 8.000.000 per month,6000000,8000000,Grow your career as a Quantity Surveyor with a leading construction company. Excellent benefits and growth opportunities.,N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/84907561
Qa,Qa,QA Assistant Manager or QA Manager,QA Assistant Manager or QA Manager,Rp 10.000.000 – Rp 13.000.000 per month,10000000,13000000,"Ensuring the quality and safety of all seafood products, food safety standards, and regulatory compliance.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84907840
Lainnya,Lainnya,Full or Part-Time Receptionist,Full or Part-Time Receptionist,Tidak dicantumkan,N/A,N/A,Join a motivating team in a thriving environment,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85307852
Business Development,Business Development,Content Creator Social Media / Creative Marketing,Content Creator Social Media / Creative Marketing,Rp 5.000.000 – Rp 7.500.000 per month,5000000,7500000,"You will be responsible for the company's social media presence & marketing initiatives, focusing on brand management and business development.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85574864
Financial Planning,Financial Planning,Financial Planning & Reporting,Financial Planning & Reporting,Tidak dicantumkan,N/A,N/A,"Job Descriptions: Perform day-to-day posting, allocations, and accrual recording of General Ledger for the assigned business unit Perform...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85295657
Admin,Admin,Supervisor Admin Faktur Penjualan,Supervisor Admin Faktur Penjualan,Tidak dicantumkan,N/A,N/A,MOHON LAMPIRKAN FOTO TERBARU,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85632635
Sales,Sales,SALES ENGINEERING HVAC,SALES ENGINEERING HVAC,Rp 6.000.000 – Rp 9.000.000 per month,6000000,9000000,Perluas karier Anda di perusahaan HVAC terkemuka. Paket kompensasi kompetitif dan peluang pengembangan yang luas.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85438312
Lainnya,Lainnya,AIF - AHM - Branding Analyst Intern,AIF - AHM - Branding Analyst Intern,Tidak dicantumkan,N/A,N/A,"Bersedia ditugaskan di seluruh plant AHM & jaringannya
Bersedia ditugaskan di area kantor dan pabrik",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85295889
Finance,Finance,Assistant Finance Manager,Assistant Finance Manager,Tidak dicantumkan,N/A,N/A,Kami mencari Kandidat yang siap bertumbuh dan berkembang bersama Perusahaan,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85565766
Lainnya,Lainnya,Staff Design Grafis,Staff Design Grafis,Tidak dicantumkan,N/A,N/A,Graphic Design role at leading non-profit. Contribute to impactful initiatives. Competitive compensation and career growth opportunities.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85104697
Tax,Tax,Accounting & Tax,Accounting & Tax,Rp 5.000.000 – Rp 6.000.000 per month,5000000,6000000,"Oversees accounting, payroll, reporting, tax, and cash flow while ensuring compliance and leading month-end closings and team supervision.",N/A,N/A,N/A,"accounting,tax",https://id.jobstreet.com/id/job/85623630
Lainnya,Lainnya,Promotor Elektronik Denpasar,Promotor Elektronik Denpasar,Rp 3.333.333 – Rp 5.000.000 per month,3333333,5000000,Promotor Elektronik,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85105259
Quality Control,Quality Control,Furniture Quality Control Supervisor,Furniture Quality Control Supervisor,Tidak dicantumkan,N/A,N/A,"Doing quality control on Wooden items furniture, aluminum material, natural material and others material.
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85033839
Lainnya,Lainnya,Livestream Supervisor,Livestream Supervisor,Tidak dicantumkan,N/A,N/A,Live streaming,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85426263
Lainnya,Lainnya,Spesialis Operasional E-commerce,Spesialis Operasional E-commerce,Rp 11.000.000 – Rp 15.000.000 per month,11000000,15000000,"dibutuhkan kandidat sesuai deskripsi, hanya untuk yang bisa mandarin",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85538860
Lainnya,Lainnya,F&B Operation Associate Manager,F&B Operation Associate Manager,Tidak dicantumkan,N/A,N/A,"Bobobox seeks an F&B Operations Associate Manager to enhance operational excellence, train staff, and drive customer satisfaction across branches.",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85117192
Lainnya,Lainnya,Accounting Staff,Accounting Staff,Rp 3.000.000 – Rp 3.454.827 per month,3000000,3454827,Suasana kerja nyaman dan rekan kerja ramah,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85604528
Sales,Sales,E Commerce Staff,E Commerce Staff,Rp 4.000.005 – Rp 5.500.000 per month,4000005,5500000,"Dynamic e-commerce role, drive sales and growth at thriving tech company. Competitive salary, excellent benefits, and career development.",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/84778878
Finance,Finance,"Finance, Accounting & Tax Manager","Finance, Accounting & Tax Manager",Rp 13.000.000 – Rp 18.000.000 per month,13000000,18000000,"overseeing the company's financial operations, ensuring accuracy in tax filings, familiar with financial system",N/A,N/A,N/A,tax,https://id.jobstreet.com/id/job/85255009
Finance,Finance,STAFF FINANCE & PERPAJAKAN,STAFF FINANCE & PERPAJAKAN,Rp 5.000.000 – Rp 7.000.000 per month,5000000,7000000,Memahami dan menguasai analisis data keuangan dan perpajakan,N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85629638
Social Media,Social Media,Content Creator & Social Media,Content Creator & Social Media,Rp 4.500.000 – Rp 5.500.000 per month,4500000,5500000,Kreatif & Berpengalaman ? Bergabung dengan tim kami untuk ciptakan konten digital yang memukau.,N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85096049
Lainnya,Lainnya,SPORT CENTER PADEL MANAGER,SPORT CENTER PADEL MANAGER,Tidak dicantumkan,N/A,N/A,Kelola pusat olahraga padel terkemuka di JAKARTA SELATAN INDONESIA. Paket kompensasi kompetitif dan program pengembangan profesional.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85103402
Lainnya,Lainnya,Government Relation & Licensing Officer,Government Relation & Licensing Officer,Tidak dicantumkan,N/A,N/A,"Pendidikan Min S1 Hukum, Usia maks 35 tahun, memahami mengenai perijinan perusahaan dan berpengalaman",N/A,35,S1,erp,https://id.jobstreet.com/id/job/85671504
Sales,Sales,Sales Engineer,Sales Engineer,Rp 7.000.000 – Rp 10.000.000 per month,7000000,10000000,Exciting opportunity for sales-driven engineering professional to showcase technical expertise and drive business growth.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85669176
Sales,Sales,Medical Representative (Bandung),Medical Representative (Bandung),Tidak dicantumkan,N/A,N/A,"Join us as a Medical Representative! Drive sales, build HCP relations, and grow your career in a dynamic, ethical healthcare environment.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85593264
Lainnya,Lainnya,Talent sekaligus Editor,Talent sekaligus Editor,Rp 3.000.000 – Rp 3.500.000 per month,3000000,3500000,Membuka lowongan untuk para Selebgram atau Influencer start up untuk membantu membranding Speeds dan dirinya .,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85119531
Lainnya,Lainnya,BANCASSURANCE SPECIALIST - KUPANG,BANCASSURANCE SPECIALIST - KUPANG,Tidak dicantumkan,N/A,N/A,Representative BNI Life yang akan ditempatkan di cabang Bank BNI bertugas melakukan pemasaran produk Bancassurance (Individu),N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85602750
Lainnya,Lainnya,Continuous Improvement Supervisor,Continuous Improvement Supervisor,Tidak dicantumkan,N/A,N/A,Bertanggung jawab untuk membuat reporting performance factory & financial performance factory,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85622738
Recruitment,Recruitment,AREA SALES MANAGER AREA SUMATERA BARAT,AREA SALES MANAGER AREA SUMATERA BARAT,Tidak dicantumkan,N/A,N/A,https://dls-sam.bni-life.co.id/recruitment/registration,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85588956
Lainnya,Lainnya,Dermatologist (Remote),Dermatologist (Remote),Tidak dicantumkan,N/A,N/A,Exciting opportunity. Premium Bali dermal & injectables clinic. Australian owned.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85198291
Lainnya,Lainnya,Marketing,Marketing,Tidak dicantumkan,N/A,N/A,Job Descriptions ,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85071040
Lainnya,Lainnya,Supervisor Remunerasi,Supervisor Remunerasi,Tidak dicantumkan,N/A,N/A,"Bertanggung jawab dalam mengelola dan merancang kompensasi dan benefit perusahaan agar adil, kompetitif, dan sesuai dengan regulasi yang berlaku.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84870238
Lainnya,Lainnya,Web Programmer Full Stack,Web Programmer Full Stack,Tidak dicantumkan,N/A,N/A,"Jadi anggota tim kami yang dinamis dan inovatif. Tunjangan kompetitif, lingkungan mendukung, dan kesempatan pengembangan profesional.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85152369
Lainnya,Lainnya,TEKNISI,TEKNISI,Rp 1.555.000 – Rp 2.265.000 per month,1555000,2265000,"Menangani ME terutama berkaitan AC Split, Cassette seperti pemasangan, perbaikan, service dan lain sebagainya. ",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84872674
Sales,Sales,SALES TELEKOMUNIKASI ENTERPRISE,SALES TELEKOMUNIKASI ENTERPRISE,Rp 10.000.000 – Rp 15.000.000 per month,10000000,15000000,"Di PT BIOSRON Kami menawarkan bonus incentive achievement dengan penilaian KPI,  serta budaya perusahaan yang mendukung pengembangan diri dan inovasi.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85057371
Lainnya,Lainnya,PROJECT COORDINATOR,PROJECT COORDINATOR,Tidak dicantumkan,N/A,N/A,Exciting role as Project Coordinator with PT Saniharto in Jakarta. Contribute to interior design projects and grow your career.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84982205
Production,Production,Production Shift Supervisor,Production Shift Supervisor,Tidak dicantumkan,N/A,N/A,"Bergabung dengan pemimpin industri keramik, nikmati remunerasi kompetitif, kesempatan karier, dan lingkungan kerja dinamis.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85132508
Finance,Finance,FINANCE MANAGER,FINANCE MANAGER,Rp 12.000.000 – Rp 16.000.000 per month,12000000,16000000,"Join our team as a Finance Manager to lead financial operations and strategy in a dynamic manufacturing company, driving accuracy, efficiency & growth",N/A,N/A,N/A,finance,https://id.jobstreet.com/id/job/85592084
Lainnya,Lainnya,Customer Relationship Executive (Car) - Branch Merauke,Customer Relationship Executive (Car) - Branch Merauke,Tidak dicantumkan,N/A,N/A,"3. Berdomisili di Merauke
4. Menyukai pekerjaan lapangan dan mengusai daerah merauke dan sekitarnya
5. Memiliki kemampuan komunikatif yang...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85633995
Bidan,Bidan,Transport & Distribusi Departement Head,Transport & Distribusi Departement Head,Tidak dicantumkan,N/A,N/A,Perusahaan yang bergerak di bidang distribusi CNG,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84877259
Lainnya,Lainnya,Product Specialist Urology,Product Specialist Urology,Tidak dicantumkan,N/A,N/A,"Product specialist Urology dengan pengalaman min 2 tahun. Mengetahui produk urology, seperti kateter, endoskopi urologi, alat bedah, dan lain-lain.",2,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85198052
Lainnya,Lainnya,Human Resources Business Partner,Human Resources Business Partner,Tidak dicantumkan,N/A,N/A,"You’ll be responsible for talent development, employee relations, and fostering a high-performance work environment.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85541076
Lainnya,Lainnya,Field Collection (Medan),Field Collection (Medan),Rp 4.000.000 – Rp 4.500.000 per month,4000000,4500000,Kolektor,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84859061
Bidan,Bidan,Network Performance Analyst,Network Performance Analyst,Tidak dicantumkan,N/A,N/A,"Pengalaman minimal 1 tahun di bidang network analyst, paham SQL, Tableau, dan cloud system",1,N/A,N/A,sql,https://id.jobstreet.com/id/job/85248333
Lainnya,Lainnya,Inspector - Landscape,Inspector - Landscape,Tidak dicantumkan,N/A,N/A,"Mengawasi Pelaksanaan Pekerjaan landscape, Memastikan Kesesuaian dengan Desain, Spesifikasi, dan Standar yang telah ditetapkan.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85562002
Lainnya,Lainnya,Asisten Workshop,Asisten Workshop,Tidak dicantumkan,N/A,N/A,Mengelola seluruh kegiatan operasional di Workshop,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85451300
Lainnya,Lainnya,Partnership Staff,Partnership Staff,Tidak dicantumkan,N/A,N/A,"Sebagai Partnership Staff, Anda akan bertanggungjawab dalam memastikan implementasi material promosi, product knowledge dan mendukung aktivitas...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/83077208
Training,Training,Business Manager (Kepala Cabang) - Sumatera Barat,Business Manager (Kepala Cabang) - Sumatera Barat,Tidak dicantumkan,N/A,N/A,"- Jenjang Karier
- Training Karyawan",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85529279
Lainnya,Lainnya,Area Manager Surabaya,Area Manager Surabaya,Tidak dicantumkan,N/A,N/A,"Mengatur, membina dan mengevaluasi kinerja tim serta store untuk mencapai target perusahaan",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85595187
Lainnya,Lainnya,IT Supervisor,IT Supervisor,Tidak dicantumkan,N/A,N/A,Jakarta Selatan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85200819
Legal,Legal,Legal Officer,Legal Officer,Tidak dicantumkan,N/A,N/A,"Become ARYA PROPERTIES' Legal Officer in Bali. Competitive salary, health benefits, and professional growth opportunities.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85590034
Lainnya,Lainnya,Independent Smallholder Supervisor,Independent Smallholder Supervisor,Tidak dicantumkan,N/A,N/A,"Membuat perencanaan, pengembangan, dan mengimplementasikan inisiatif pengembangan dan keterlibatan masyarakat untuk mencapai tujuan strategis PT REAK",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84860581
Mechanic,Mechanic,Mechanical Technician,Mechanical Technician,Tidak dicantumkan,N/A,N/A,Maintain critical mechanical systems in modern chemical plant. Excellent career growth opportunity. Competitive compensation.,N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85457583
Lainnya,Lainnya,Financial Advisor - Jakarta Timur (Jatinegara),Financial Advisor - Jakarta Timur (Jatinegara),Rp 3.500.000 – Rp 5.000.000 per month,3500000,5000000,"DESKRIPSI PEKERJAAN Financial Advisor (FA) adalah perencana keuangan nasabah. Dimana FA bertugas untuk merencanakan, dan memasarkan produk asuransi",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85592632
Lainnya,Lainnya,Process Engineer,Process Engineer,Tidak dicantumkan,N/A,N/A,"Process Engineer akan merancang, menguji, melakukan simulasi serta menganalisa proses untuk meningkatkan produksi dan membuat improvement.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85270235
Lainnya,Lainnya,Branch Manager,Branch Manager,Tidak dicantumkan,N/A,N/A,Jenjang karir dan paket insentif yang menarik.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85205708
Lainnya,Lainnya,Lab Analist,Lab Analist,Tidak dicantumkan,N/A,N/A,"Lab Analist, pengalaman 1 Tahun sebagai Lab Analist Pengolahan Limbah B3, Paham analisa Alternative Fuel & Alternative Material",1,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85054427
Finance,Finance,SPV Finance Accounting Tax,SPV Finance Accounting Tax,Tidak dicantumkan,N/A,N/A,-,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85573343
Management,Management,Purchasing,Purchasing,Tidak dicantumkan,N/A,N/A,Strong negotiation and vendor management skills with the ability to build and maintain successful supplier relationships,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85109362
Lainnya,Lainnya,Fashion Merchandiser Manager | Buyer MANAGER,Fashion Merchandiser Manager | Buyer MANAGER,Rp 10.000.000 – Rp 13.000.000 per month,10000000,13000000,Level Up your Value with Us!,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85597964
Lainnya,Lainnya,Industrial Robotics Engineer,Industrial Robotics Engineer,Rp 6.500.000 – Rp 7.500.000 per month,6500000,7500000,We are looking for a forward-thinking Industrial Robotics Engineer to join our automation team in driving the next generation of smart manufacturing.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84850945
Sales,Sales,Sales & Marketing Specialist,Sales & Marketing Specialist,Rp 4.000.000 – Rp 6.000.000 per month,4000000,6000000,"Sales & Marketing Specialist is responsible to assist SM Spv in manage, strengthen, and grow the school’s lead generation, nurture, and conversion.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84994457
Sales,Sales,Sales Engineer Automation and Process Analyzer,Sales Engineer Automation and Process Analyzer,Tidak dicantumkan,N/A,N/A,"We believe in nurturing a and a range of benefits, including insurance, professional development opportunities, and a work-life balance culture.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85674879
