Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Sales,Sales,Pramuniaga/Sales Assistant (Manado),Pramuniaga/Sales Assistant (Manado),Rp 5.000.000 – Rp 6.000.000 per month,5000000,6000000,"Melayani pelanggan, menawarkan produk, bantu transaksi, jaga kerapihan toko, dan dukung pencapaian target penjualan",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84811778
Legal,Legal,Staf Legal,Staf Legal,Rp 4.000.000 – Rp 5.600.000 per month,4000000,5600000,-,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011088
Sales,Sales,Retail Sales Assistant,Retail Sales Assistant,Rp 5.400.000 per month,5400000,5400000,We count on professionals like you to create and transmit the excitement that extraordinary company possesses.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025700
Lainnya,Lainnya,Marketing,Marketing,Rp 3.000.000 – Rp 4.500.000 per month,3000000,4500000,"developing and implementing marketing strategies, creating content, analyzing campaign performance, and collaborating with other teams",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84535391
Sales,Sales,Sales Promotor Kredivo - PALANGKARAYA,Sales Promotor Kredivo - PALANGKARAYA,Tidak dicantumkan,N/A,N/A,"Kredivo ""Beli Sekarang, Bayar Nanti"" sedang membuka lowongan untuk posisi Sales Promotor. Penempatan kerja sesuai wilayah domisili pelamar.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85012680
Retail,Retail,Chef De Partie ( Section Head Retail ),Chef De Partie ( Section Head Retail ),Tidak dicantumkan,N/A,N/A,"PT Lotte Shopping Indonesia, Cook. Chef , Korean Food, Western, Hot Kitchen, Sushi, Kitchen",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84404509
Chef,Chef,Marketing Chef,Marketing Chef,Rp 6.000.000 – Rp 7.500.000 per month,6000000,7500000,we’re not just selling kitchen equipment — we’re enabling chefs and businesses to create culinary excellence across Indonesia.,N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85090998
Admin,Admin,STAFF MANDARIN INTERPRETER & LIASON OFFICER,STAFF MANDARIN INTERPRETER & LIASON OFFICER,Tidak dicantumkan,N/A,N/A,"-Translator bahasa Mandarin secara lisan dengan klien asing, dan translate dokumen2 yg diperlukan. 
-Administrasi dokumen
- Bersedia dinas luar kota ",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85012851
Education,Education,Teacher Mandarin,Teacher Mandarin,Rp 7.000.000 – Rp 10.000.000 per month,7000000,10000000,CNY Education merupakan lembaga konsultasi pendidikan yang membantu mahasiswa internasional melanjutkan studi ke China.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84956373
Consultant,Consultant,Bancassurance Consultant (Merauke),Bancassurance Consultant (Merauke),Tidak dicantumkan,N/A,N/A,Menjalin dan menjaga hubungan bisnis yang baik dengan nasabah bank rekanan dalam memberikan konsultasi perencanaan perlindungan serta tujuan...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84654218
Lainnya,Lainnya,PPJK MANAGER,PPJK MANAGER,Tidak dicantumkan,N/A,N/A,Memiliki skill Problem solving terkait customs clearance,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090612
Sales,Sales,Sales Promotor Kredivo - SAMARINDA,Sales Promotor Kredivo - SAMARINDA,Tidak dicantumkan,N/A,N/A,"Kredivo ""Beli Sekarang, Bayar Nanti"" sedang membuka lowongan untuk posisi Sales Promotor. Penempatan kerja sesuai wilayah domisili pelamar.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85012479
Consultant,Consultant,Sales Consultant (Mazda Simprug),Sales Consultant (Mazda Simprug),Rp 4.000.000 – Rp 5.000.000 per month,4000000,5000000,Are you passionate about luxury cars and delivering exceptional customer experiences? Eurokars Group Indonesia is seeking talented Sales,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84233108
Cyber Security,Cyber Security,Presales Manager for Cyber Security,Presales Manager for Cyber Security,Tidak dicantumkan,N/A,N/A,A Presales Manager is a professional who works within a sales team with a primary focus on the pre-sales stage.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025463
Sales,Sales,Sales Promotor Kredivo - BALIKPAPAN,Sales Promotor Kredivo - BALIKPAPAN,Tidak dicantumkan,N/A,N/A,"Kredivo ""Beli Sekarang, Bayar Nanti"" sedang membuka lowongan untuk posisi Sales Promotor. Penempatan kerja sesuai wilayah domisili pelamar.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84247650
Sales,Sales,Property Sales Executive Commercial,Property Sales Executive Commercial,Tidak dicantumkan,N/A,N/A,"Bertanggung Jawab untuk menjual Unit Kota Deltamas (Rumah, Ruko/ Commercial Area)",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84956313
Interior Designer,Interior Designer,Interior Designer Gading Serpong,Interior Designer Gading Serpong,Rp 5.000.000 – Rp 6.000.000 per month,5000000,6000000,"Bekerja sama dengan klien. Melakukan site-visit proyek, melakukan pengukuran yang akurat. ",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84378124
Qa,Qa,Assistant Manager QA,Assistant Manager QA,Tidak dicantumkan,N/A,N/A,"Memastikan kegiatan seluruh dept QA sesuai dengan CPOB
Ikut serta dalam memprakarsai pementukan manual mutu perusahaan",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/83993984
