Kategori Lowongan,Umur,Pendidikan,Title,Link,Gaji_Rata2,Kategori_Encoded,Pendidikan_Encoded
Lainnya,32.0,S1,Beauty-Account Launch Creator (Beauty Content Host),https://id.jobstreet.com/id/job/85131948,8500000.0,29,5
Purchasing,32.0,S1,"Purchasing Staff / Pluit, Jakarta Utara",https://id.jobstreet.com/id/job/85534006,7000000.0,43,5
Lainnya,32.0,S1,Content Creator & KOL Specialist,https://id.jobstreet.com/id/job/85604465,7000000.0,29,5
Seo,32.0,S1,Admin Sales Online Shop,https://id.jobstreet.com/id/job/84972474,3750000.0,50,5
Account Executive,32.0,S1,Account Executive,https://id.jobstreet.com/id/job/85153251,7500000.0,0,5
Lainnya,32.0,S1,Custom Affairs Supervisor,https://id.jobstreet.com/id/job/85130079,5500000.0,29,5
Purchasing,32.0,S1,SPV Purchasing,https://id.jobstreet.com/id/job/85258447,4500000.0,43,5
Akuntan,32.0,S1,Senior Finance & Accounting,https://id.jobstreet.com/id/job/85633707,8750000.0,2,5
Lainnya,32.0,S1,Process Engineer,https://id.jobstreet.com/id/job/85246808,14000000.0,29,5
Purchasing,32.0,S1,Purchasing Project,https://id.jobstreet.com/id/job/85098977,4250000.0,43,5
It Support,32.0,S1,General Affairs & IT Support Officer,https://id.jobstreet.com/id/job/85470040,6500000.0,28,5
Akuntan,32.0,S1,Project accounting,https://id.jobstreet.com/id/job/85271706,6000000.0,2,5
Maintenance,32.0,S1,Maintenance Planner,https://id.jobstreet.com/id/job/85628340,10000000.0,32,5
Supply Chain,32.0,S1,Supply Chain Manager - Hydraulic Component Manufacture,https://id.jobstreet.com/id/job/84833805,17500000.0,53,5
Lainnya,32.0,S1,Document Control Staff Manufacture - Cikarang - WFO (ID: 679629),https://id.jobstreet.com/id/job/85678453,5500000.0,29,5
Business Development,32.0,S1,Business Development Support,https://id.jobstreet.com/id/job/85562796,5000000.0,9,5
Finance,32.0,S1,Finance & Accounting Staff,https://id.jobstreet.com/id/job/85632749,4500000.0,20,5
Sales,32.0,S1,SALES & MARKETING BUILDING MATERIAL,https://id.jobstreet.com/id/job/85435699,7500000.0,48,5
Lainnya,32.0,S1,Emergency Response Team,https://id.jobstreet.com/id/job/84949930,6550000.0,29,5
Bidan,35.0,S1,PPIC,https://id.jobstreet.com/id/job/84904688,5400000.0,7,5
Lainnya,32.0,S1,Procurement Specialist,https://id.jobstreet.com/id/job/84928345,10000000.0,29,5
Lainnya,32.0,S1,Staff Ahli Komisaris Development,https://id.jobstreet.com/id/job/85629192,9000000.0,29,5
Seo,32.0,S1,Online Marketing & Strategy Specialist,https://id.jobstreet.com/id/job/84954152,8500000.0,50,5
Technician,32.0,S1,"Data Center Operations Technician (Jakarta, 24/7 shift)",https://id.jobstreet.com/id/job/84981515,8500000.0,55,5
Lainnya,32.0,S1,STRUCTURE ENGINEER,https://id.jobstreet.com/id/job/85422078,7750000.0,29,5
Lainnya,32.0,S1,Content Creator,https://id.jobstreet.com/id/job/85494809,6250000.0,29,5
Technician,32.0,S1,QUALITY TECHNICIAN,https://id.jobstreet.com/id/job/85562775,7500000.0,55,5
Sales,32.0,S1,Sales Executive (Chemicals For Rubber Industry),https://id.jobstreet.com/id/job/85293966,6000000.0,48,5
Lainnya,32.0,S1,Customer Relation Officer,https://id.jobstreet.com/id/job/85155394,5750000.0,29,5
Admin,32.0,S1,Korean Translator & Administration Staff,https://id.jobstreet.com/id/job/85126941,8500000.0,1,5
Bidan,35.0,S1,VISUAL DISPLAY LEADER,https://id.jobstreet.com/id/job/85487799,5500000.0,7,5
Lainnya,32.0,S1,Safety HSE,https://id.jobstreet.com/id/job/85685650,8000000.0,29,5
Finance,32.0,S1,SENIOR ACCOUNTING,https://id.jobstreet.com/id/job/85240956,17500000.0,20,5
Quality Control,32.0,S1,Quality Control,https://id.jobstreet.com/id/job/85636316,3700000.0,45,5
Finance,32.0,S1,Finance & Accounting Manager,https://id.jobstreet.com/id/job/84904056,17500000.0,20,5
Finance,32.0,S1,Finance Accounting Manager,https://id.jobstreet.com/id/job/84902538,25000000.0,20,5
Seo,32.0,S1,KOL & Affiliate Specialist,https://id.jobstreet.com/id/job/84964351,8500000.0,50,5
Maintenance,32.0,S1,Staff Teknisi Kelistrikan,https://id.jobstreet.com/id/job/85411322,3750000.0,32,5
Lainnya,32.0,S1,Marketing Officer (Duri),https://id.jobstreet.com/id/job/84858897,5000000.0,29,5
Management,32.0,S1,General Affair Staff ( Management Facility),https://id.jobstreet.com/id/job/85567275,4250000.0,33,5
Quality Control,32.0,S1,Leader/Manager Quality Control Project (Electrical),https://id.jobstreet.com/id/job/85296515,11750000.0,45,5
Lainnya,3.0,S1,AREA MANAGER,https://id.jobstreet.com/id/job/85069702,21500000.0,29,5
Legal,32.0,S1,Legal Officer,https://id.jobstreet.com/id/job/85042597,9000000.0,30,5
Lainnya,32.0,S1,GENERAL MANAGER,https://id.jobstreet.com/id/job/85628729,12500000.0,29,5
Lainnya,32.0,S1,PPIC Specialist,https://id.jobstreet.com/id/job/85014435,5750000.0,29,5
Lainnya,32.0,S1,Chief Financial Officer (CFO),https://id.jobstreet.com/id/job/85246821,25000000.0,29,5
Bidan,32.0,S1,Pemimpin Cabang,https://id.jobstreet.com/id/job/85172773,21250000.0,7,5
Lainnya,32.0,S1,Pengawas Proyek,https://id.jobstreet.com/id/job/85267452,5000000.0,29,5
Finance,32.0,S1,Legal & Compliance Officer,https://id.jobstreet.com/id/job/85200309,9250000.0,20,5
Lainnya,32.0,S1,KONTEN KREATOR,https://id.jobstreet.com/id/job/85256432,5750000.0,29,5
Sales,32.0,S1,Admin Sales Support,https://id.jobstreet.com/id/job/85139228,4250000.0,48,5
Lainnya,32.0,S1,IT Functional (System Analyst),https://id.jobstreet.com/id/job/85575186,9000000.0,29,5
Lainnya,32.0,S1,Askep,https://id.jobstreet.com/id/job/85490847,8000000.0,29,5
Data Analyst,32.0,S1,Data Analyst,https://id.jobstreet.com/id/job/85139885,12000000.0,15,5
Retail,32.0,S1,BD Manager,https://id.jobstreet.com/id/job/85036354,19500000.0,47,5
Lainnya,32.0,S1,HR Generalist,https://id.jobstreet.com/id/job/85627938,3200000.0,29,5
Lainnya,32.0,S1,PPIC Manager,https://id.jobstreet.com/id/job/85203487,16000000.0,29,5
Lainnya,32.0,S1,Compliance Officer,https://id.jobstreet.com/id/job/85042857,9000000.0,29,5
Sales,32.0,S1,Sales Area Sorong,https://id.jobstreet.com/id/job/85364534,3750000.0,48,5
Sales,32.0,S1,Sales Area ( Area Kerja Jabodetabekser),https://id.jobstreet.com/id/job/85297232,5050000.0,48,5
Tax,32.0,S1,Tax Staff (Perpajakan),https://id.jobstreet.com/id/job/85363843,3500000.0,54,5
Lainnya,32.0,S1,Marketplace,https://id.jobstreet.com/id/job/85633027,4000000.0,29,5
Admin,32.0,S1,System and Network Administrator (Hybrid Working),https://id.jobstreet.com/id/job/85556679,7500000.0,1,5
Lainnya,32.0,S1,Accounting,https://id.jobstreet.com/id/job/85626362,6000000.0,29,5
Lainnya,32.0,S1,MANAJER PENJUALAN KOSMETIK OEM ODM/PACKAGING,https://id.jobstreet.com/id/job/85254885,12500000.0,29,5
Lainnya,32.0,S1,IT Development,https://id.jobstreet.com/id/job/84970478,4250000.0,29,5
Lainnya,32.0,S1,Branding Officer,https://id.jobstreet.com/id/job/84938127,7500000.0,29,5
Perawat,32.0,S1,ENGINEERING SUPERVISOR,https://id.jobstreet.com/id/job/84979388,8750000.0,38,5
Lainnya,32.0,S1,Technical Hosting Support Engineer,https://id.jobstreet.com/id/job/85551962,8750000.0,29,5
Bidan,32.0,S1,Digital Advertising Specialist - Digital Ads,https://id.jobstreet.com/id/job/85546625,7000000.0,7,5
Lainnya,27.0,S1,Staf Accounting,https://id.jobstreet.com/id/job/85291484,4900000.0,29,5
Videographer,32.0,S1,Videographer and Editor,https://id.jobstreet.com/id/job/84569812,10000000.0,59,5
Digital Marketing,32.0,S1,SEM Specialist,https://id.jobstreet.com/id/job/84892323,9500000.0,17,5
Legal,32.0,S1,In-House Legal Expert,https://id.jobstreet.com/id/job/85196867,9250000.0,30,5
Akuntan,32.0,S1,STAF AKUNTAN,https://id.jobstreet.com/id/job/85061691,5250000.0,2,5
Quality Control,32.0,S1,Assistant Quality Control Mill,https://id.jobstreet.com/id/job/85602784,6250000.0,45,5
Production,32.0,S1,PPIC HEAD,https://id.jobstreet.com/id/job/85246813,9000000.0,40,5
Nutritionist,32.0,S1,Nutritionist,https://id.jobstreet.com/id/job/85624490,5000000.0,36,5
Management,32.0,S1,Management Trainee Internal Audit in Central Kalimantan Site,https://id.jobstreet.com/id/job/85068749,4250000.0,33,5
Social Media,32.0,S1,Content Social Media,https://id.jobstreet.com/id/job/84941910,4750000.0,51,5
Lainnya,32.0,S1,IT DEVELOPER STAFF,https://id.jobstreet.com/id/job/85458142,13500000.0,29,5
Lainnya,32.0,S1,Editor Video & Kreator Konten,https://id.jobstreet.com/id/job/85243390,12500000.0,29,5
Management,32.0,S1,General Manager,https://id.jobstreet.com/id/job/85615135,11000.0,33,5
Quality Control,32.0,S1,Quality Control Field,https://id.jobstreet.com/id/job/85683350,2548000.0,45,5
Training,32.0,S1,Engineering Utility,https://id.jobstreet.com/id/job/85132627,5250000.0,57,5
Lainnya,32.0,S1,Supervisor HCGA,https://id.jobstreet.com/id/job/85375775,9000000.0,29,5
Market Research,32.0,S1,Marketing Research Assistant Manager,https://id.jobstreet.com/id/job/84936394,11000000.0,34,5
Lainnya,32.0,S1,Head of Marketing,https://id.jobstreet.com/id/job/85595066,12500000.0,29,5
Lainnya,32.0,S1,PGA SHE Manager,https://id.jobstreet.com/id/job/84948393,16500000.0,29,5
Lainnya,32.0,S1,Operation Executive,https://id.jobstreet.com/id/job/85184735,6250000.0,29,5
Lainnya,32.0,S1,TikTok Ecommerce Operational specialist,https://id.jobstreet.com/id/job/85015957,10000000.0,29,5
Sales,32.0,S1,After Sales,https://id.jobstreet.com/id/job/84966412,8500000.0,48,5
Lainnya,32.0,S1,HRD ( human resource development ),https://id.jobstreet.com/id/job/85491421,5000000.0,29,5
Sales,32.0,S1,Sales Executive for Food,https://id.jobstreet.com/id/job/84968037,12500000.0,48,5
Civil Engineer,30.0,Bachelor,Staff Civil,https://id.jobstreet.com/id/job/84947978,3900000.0,11,0
Lainnya,32.0,S1,Staff Web Developer dan Advertiser,https://id.jobstreet.com/id/job/84926751,4250000.0,29,5
Lainnya,32.0,S1,PEOPLE DEVELOPMENT,https://id.jobstreet.com/id/job/85633768,3900000.0,29,5
Lainnya,32.0,S1,GENERAL AFFAIR (GA) MANAGER,https://id.jobstreet.com/id/job/84890209,7500000.0,29,5
Sales,32.0,S1,Sales and Marketing Officer,https://id.jobstreet.com/id/job/85049320,5695000.0,48,5
Arsitek,32.0,S1,Arsitek,https://id.jobstreet.com/id/job/85295162,7875000.0,4,5
Digital Marketing,32.0,S1,Supervisor Digital Marketing,https://id.jobstreet.com/id/job/85632864,5500000.0,17,5
Purchasing,32.0,S1,Tender Staff / Purchasing Staff,https://id.jobstreet.com/id/job/85594950,5750000.0,43,5
Lainnya,32.0,S1,Affiliate Marketing Specialist,https://id.jobstreet.com/id/job/85037640,6666666.0,29,5
Strategic Planning,32.0,S1,Marketing Manager,https://id.jobstreet.com/id/job/85054486,35000000.0,52,5
Lainnya,32.0,S1,Supervisor Produksi Injection,https://id.jobstreet.com/id/job/85619713,6750000.0,29,5
Sales,32.0,S1,Sales & Marketing,https://id.jobstreet.com/id/job/85172159,6000000.0,48,5
Management,32.0,S1,Management Trainee Industrial Relationship,https://id.jobstreet.com/id/job/85026644,6125000.0,33,5
Tax,32.0,S1,Accounting & Tax,https://id.jobstreet.com/id/job/85588606,5500000.0,54,5
Civil Engineer,32.0,S1,Assistant Civil Engineering,https://id.jobstreet.com/id/job/85684693,8000000.0,11,5
Customer Service,32.0,S1,Retail Operations Manager – eCommerce,https://id.jobstreet.com/id/job/85471214,8000000.0,14,5
Social Media,32.0,S1,Social Media Staff,https://id.jobstreet.com/id/job/85602710,4650000.0,51,5
Civil Engineer,32.0,S1,Civil Engineer in Bali,https://id.jobstreet.com/id/job/85661613,6250000.0,11,5
Sales,32.0,S1,Sales & Marketing Assistant Manager,https://id.jobstreet.com/id/job/84917696,13500000.0,48,5
Lainnya,32.0,S1,Marketing for F&B,https://id.jobstreet.com/id/job/85602664,5500000.0,29,5
Lainnya,32.0,S1,Host Livestreaming,https://id.jobstreet.com/id/job/85603704,4750000.0,29,5
Lainnya,32.0,S1,Marketing Officer (Jabodetabek),https://id.jobstreet.com/id/job/85544607,6250000.0,29,5
Sales,32.0,S1,SUPERVISOR BOJONEGORO,https://id.jobstreet.com/id/job/85465240,3600000.0,48,5
Training,32.0,S1,Trainer,https://id.jobstreet.com/id/job/85159895,4500000.0,57,5
Admin,32.0,S1,Staff Administrasi,https://id.jobstreet.com/id/job/85239245,5000000.0,1,5
Management,32.0,S1,Building Management Automation Engineer,https://id.jobstreet.com/id/job/84966240,9000000.0,33,5
Akuntan,32.0,D3,Finance Accounting Tax,https://id.jobstreet.com/id/job/85621295,5000000.0,2,1
Project Manager,32.0,S1,Project Manager Assistant,https://id.jobstreet.com/id/job/85199599,7500000.0,41,5
Graphic Designer,32.0,S1,GRAPHIC DESIGNER,https://id.jobstreet.com/id/job/85023281,7750000.0,23,5
Lainnya,32.0,S1,Driver Taksi,https://id.jobstreet.com/id/job/84821155,5000000.0,29,5
Lainnya,32.0,S1,IT Asset & Support,https://id.jobstreet.com/id/job/85642669,5500000.0,29,5
Sales,32.0,S1,Marketing Officer (Medan),https://id.jobstreet.com/id/job/84858222,4250000.0,48,5
Bidan,32.0,SMK,Drafter Engineering,https://id.jobstreet.com/id/job/84970140,6000000.0,7,10
Sales,32.0,S1,Sales Executive Retail Sport Industry Bali Area,https://id.jobstreet.com/id/job/84978838,4500000.0,48,5
Finance,32.0,S1,Finance & Accounting Manager,https://id.jobstreet.com/id/job/84983131,11000000.0,20,5
Lainnya,32.0,S1,Accountant,https://id.jobstreet.com/id/job/85573468,6750000.0,29,5
Admin,32.0,S1,Admin Konten Script & E-Commerce,https://id.jobstreet.com/id/job/85678186,5250000.0,1,5
Lainnya,32.0,S1,IQC/ELQC Engineer,https://id.jobstreet.com/id/job/85078206,8600000.0,29,5
Lainnya,32.0,S1,Petugas Proteksi Radiasi (PPR),https://id.jobstreet.com/id/job/85043946,7000000.0,29,5
Sales,32.0,S1,Steel Material Sales,https://id.jobstreet.com/id/job/84999188,12500000.0,48,5
Akuntan,32.0,S1,Accounting Advisor RS,https://id.jobstreet.com/id/job/85535594,7500000.0,2,5
Lainnya,32.0,S1,Host Live Streaming,https://id.jobstreet.com/id/job/84970627,7500000.0,29,5
Sales,32.0,S1,SALES MARKETING MANAGER,https://id.jobstreet.com/id/job/85546885,12000000.0,48,5
Event,32.0,S1,Event Specialist,https://id.jobstreet.com/id/job/84895252,7500000.0,19,5
Warehouse,32.0,S1,Warehouse Supervisor,https://id.jobstreet.com/id/job/85254177,4600000.0,60,5
Social Media,32.0,S1,Fashion Sales Assistant (Online Sales),https://id.jobstreet.com/id/job/85523208,4175000.0,51,5
Business Development,32.0,S1,Business Development,https://id.jobstreet.com/id/job/84873917,6000000.0,9,5
Graphic Designer,32.0,S1,Graphic Designer (Part Time),https://id.jobstreet.com/id/job/85140408,2150000.0,23,5
Lainnya,32.0,S1,Specialist PPJK,https://id.jobstreet.com/id/job/85573007,8333333.5,29,5
Warehouse,32.0,S1,Warehouse Supervisor (B2C),https://id.jobstreet.com/id/job/85058203,10000000.0,60,5
Lainnya,32.0,S1,Architect (Revit),https://id.jobstreet.com/id/job/85585587,26500000.0,29,5
Purchasing,32.0,S1,Purchasing,https://id.jobstreet.com/id/job/84971190,5000000.0,43,5
Digital Marketing,32.0,S1,"International Marketplace Specialist (eBay, Amazon, Tokopedia)",https://id.jobstreet.com/id/job/85174905,3500000.0,17,5
Payroll,32.0,S1,Human Resources Manager,https://id.jobstreet.com/id/job/85671935,9500000.0,37,5
Lainnya,32.0,S1,"FINANCIAL ADVISOR PANGKALPINANG (Manggar, Gantong, Toboali, & Tanjung Pandan)",https://id.jobstreet.com/id/job/85601691,2850000.0,29,5
Lainnya,32.0,S1,Waiter,https://id.jobstreet.com/id/job/85674605,2750000.0,29,5
Lainnya,32.0,S1,Project Operation,https://id.jobstreet.com/id/job/85303365,8500000.0,29,5
Lainnya,32.0,S1,Freight Forwarding Operational (PIB/PEB) Staff and project Logistics Officer,https://id.jobstreet.com/id/job/85029560,6250000.0,29,5
Sales,32.0,S1,Sales Representative Bekasi/ Tangerang/ Jakarta/ Bogor,https://id.jobstreet.com/id/job/84934451,5500000.0,48,5
Lainnya,32.0,S1,TEKNISI,https://id.jobstreet.com/id/job/85069364,3650000.0,29,5
Lainnya,32.0,S1,Video Editor,https://id.jobstreet.com/id/job/85562626,7000000.0,29,5
Lainnya,32.0,S1,STAFF PPIC MACHINING,https://id.jobstreet.com/id/job/85126879,5750000.0,29,5
Lainnya,32.0,S1,Payment Operation Specialist,https://id.jobstreet.com/id/job/85296920,6700000.0,29,5
Seo,32.0,S1,Marketing & Communication Head,https://id.jobstreet.com/id/job/84910164,8333333.5,50,5
Logistik,32.0,S1,Supervisor Logistik,https://id.jobstreet.com/id/job/85671911,5475000.0,31,5
Retail,32.0,S1,Store Construction Manager,https://id.jobstreet.com/id/job/85559688,19000000.0,47,5
Sales,32.0,S1,ADMIN SALES (CABANG BALI),https://id.jobstreet.com/id/job/85358243,3700000.0,48,5
Customer Service,32.0,S1,Customer Service Representative - Pekalongan,https://id.jobstreet.com/id/job/85630961,3450000.0,14,5
Sales,32.0,S1,SALES EXECUTIVE,https://id.jobstreet.com/id/job/85567338,5500000.0,48,5
Management,32.0,S1,Project Management Officer (PMO) cum Personal Assistant (PA),https://id.jobstreet.com/id/job/85546827,11000000.0,33,5
Bidan,32.0,S1,Spesialis Mock-Up Helm Sepeda Motor Inovatif – (Berpengalaman Mock-Up Helm),https://id.jobstreet.com/id/job/84970916,6250000.0,7,5
Quality Control,32.0,S1,Construction Quality Control,https://id.jobstreet.com/id/job/84878119,12500000.0,45,5
Lainnya,32.0,S1,Marketing,https://id.jobstreet.com/id/job/85491647,4349386.0,29,5
Admin,32.0,S1,ADMIN KEUANGAN/PAJAK,https://id.jobstreet.com/id/job/85164877,4000000.0,1,5
Lainnya,32.0,S1,E-Commerce Marketing Specialist,https://id.jobstreet.com/id/job/85673247,9000000.0,29,5
Lainnya,32.0,S1,Japanese Interpreter Staff　(Japanese language business level required),https://id.jobstreet.com/id/job/84982191,10500000.0,29,5
Finance,32.0,S1,FINANCE ACCOUNTING OFFICER,https://id.jobstreet.com/id/job/84293101,4000000.0,20,5
Lainnya,32.0,S1,PUBLIC RELATION,https://id.jobstreet.com/id/job/85161764,5500000.0,29,5
Lainnya,32.0,S1,Export Import Supervisor,https://id.jobstreet.com/id/job/85666225,9000000.0,29,5
Maintenance,32.0,S1,Infrastructure & Maintenance Project,https://id.jobstreet.com/id/job/85628735,4250000.0,32,5
Lainnya,32.0,S1,Architect,https://id.jobstreet.com/id/job/85473659,5250000.0,29,5
Lainnya,32.0,S1,Pengemudi Taksi Bluebird Tambun Bekasi,https://id.jobstreet.com/id/job/85627127,5000000.0,29,5
Training,32.0,"S1,D3",QS MEP,https://id.jobstreet.com/id/job/85122832,8000000.0,57,7
Akuntan,32.0,S1,Admin Sarjana Akuntansi Mahir bahasa Inggris untuk Rental Motor di BALI,https://id.jobstreet.com/id/job/85263160,3400000.0,2,5
Business Development,32.0,S1,Business Development - Heat Pump,https://id.jobstreet.com/id/job/85162795,21500000.0,9,5
Production,32.0,S1,PRODUCTION MANAGER,https://id.jobstreet.com/id/job/85685100,5500000.0,40,5
Sales,32.0,S1,Sales Marketing (Staff),https://id.jobstreet.com/id/job/85358720,7500000.0,48,5
Bidan,32.0,S1,Marketing Manager Maklon,https://id.jobstreet.com/id/job/85362154,9000000.0,7,5
Admin,32.0,S1,Admin KOL Specialist,https://id.jobstreet.com/id/job/85621918,3250000.0,1,5
Lainnya,32.0,S1,Cost Accounting Specialist,https://id.jobstreet.com/id/job/85152528,8350000.0,29,5
Lainnya,32.0,S1,Marketing and Development,https://id.jobstreet.com/id/job/85074883,6250000.0,29,5
Lainnya,32.0,S1,Store Manager,https://id.jobstreet.com/id/job/85624049,11000000.0,29,5
Recruitment,32.0,S1,Supervisor Recruitment,https://id.jobstreet.com/id/job/84909972,6000000.0,46,5
Lainnya,32.0,S1,Supervisor Minimarket,https://id.jobstreet.com/id/job/85574565,5500000.0,29,5
Lainnya,32.0,S1,Ecommerce Specialist | Ecommerce Executive,https://id.jobstreet.com/id/job/85014558,5750000.0,29,5
Warehouse,32.0,S1,Warehouse Team Leader,https://id.jobstreet.com/id/job/84871119,5350000.0,60,5
Sales,30.0,SMA,SALES - BALI AREA,https://id.jobstreet.com/id/job/85154320,4175000.0,48,9
Lainnya,32.0,S1,Public Relation – Real Estate,https://id.jobstreet.com/id/job/85267774,6000000.0,29,5
Lainnya,32.0,S1,Facade Surveyor (Aluminium & Glass),https://id.jobstreet.com/id/job/85550209,5850000.0,29,5
Quality Control,32.0,S1,Foreman Quality Control,https://id.jobstreet.com/id/job/85633720,5750000.0,45,5
Lainnya,32.0,S1,Corporate Planning Staff,https://id.jobstreet.com/id/job/85265097,7750000.0,29,5
Retail,32.0,S1,Retail Supervisor,https://id.jobstreet.com/id/job/85153401,4500000.0,47,5
Lainnya,32.0,S1,TEKNISI ELEKTRONIK,https://id.jobstreet.com/id/job/85628622,4000000.0,29,5
Retail,32.0,S1,Retail Marketing Specialist,https://id.jobstreet.com/id/job/85545999,13500000.0,47,5
Backend,32.0,S1,E-Commerce & Website Marketing Specialist (with IT Focus) for Fashion Brand,https://id.jobstreet.com/id/job/85600054,8500000.0,6,5
Sales,32.0,S1,Sales Associate (Indonesia),https://id.jobstreet.com/id/job/85196730,4750000.0,48,5
Lainnya,32.0,S1,Koordinator Merchandiser Banjarmasin,https://id.jobstreet.com/id/job/85171469,3750000.0,29,5
Lainnya,32.0,S1,KEPALA BAGIAN IMPORT EXPORT,https://id.jobstreet.com/id/job/85563214,10000000.0,29,5
Finance,32.0,S1,Finance and Accounting,https://id.jobstreet.com/id/job/85681468,6000000.0,20,5
Sales,32.0,S1,SALES EXPORT,https://id.jobstreet.com/id/job/85188089,9500000.0,48,5
Lainnya,32.0,S1,Operations Manager (Bali Placement),https://id.jobstreet.com/id/job/85267571,17125000.0,29,5
Social Media,32.0,S1,Staff Marketing & Customer Engagement,https://id.jobstreet.com/id/job/85510555,3500000.0,51,5
Admin,32.0,S1,HR Staff,https://id.jobstreet.com/id/job/84969500,3750000.0,1,5
Maintenance,32.0,S1,Equipment Maintenance Technician,https://id.jobstreet.com/id/job/85683995,5250000.0,32,5
Lainnya,32.0,S1,ESTIMATOR / QUANTITY SURVEYOR INTERIOR,https://id.jobstreet.com/id/job/85036645,10000000.0,29,5
Lainnya,32.0,S1,PPJK Customs Clearance Associate,https://id.jobstreet.com/id/job/85572148,6750000.0,29,5
Lainnya,32.0,S1,Import,https://id.jobstreet.com/id/job/84863584,5500000.0,29,5
Lainnya,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85603857,4500000.0,29,5
Backend,32.0,S1,Backend PHP dan java (Penempatan Batam Kepulauan Riau),https://id.jobstreet.com/id/job/85672746,4500000.0,6,5
Lainnya,32.0,S1,Penerjemah bahasa cina,https://id.jobstreet.com/id/job/85535888,8500000.0,29,5
Lainnya,32.0,S1,Accounting Senior Manager,https://id.jobstreet.com/id/job/85422771,17000000.0,29,5
Sales,32.0,S1,Sales Team Leader,https://id.jobstreet.com/id/job/85265697,3750000.0,48,5
Purchasing,32.0,S1,Purchasing,https://id.jobstreet.com/id/job/85441063,7750000.0,43,5
Admin,32.0,S1,Admin Project & Tender - Railway Industry,https://id.jobstreet.com/id/job/84803416,8000000.0,1,5
Admin,32.0,S1,Admin Online Marketplace Toko Alat Musik,https://id.jobstreet.com/id/job/85567212,3500000.0,1,5
Maintenance,32.0,S1,Maintenance Electrical Technician,https://id.jobstreet.com/id/job/85538650,7500000.0,32,5
Sales,32.0,S1,Sales,https://id.jobstreet.com/id/job/85606413,4250000.0,48,5
Sales,32.0,S1,Sales Field,https://id.jobstreet.com/id/job/85028229,5250000.0,48,5
Telemarketing,32.0,S1,Telemarketing dan Administrasi,https://id.jobstreet.com/id/job/85604344,3225000.0,56,5
Purchasing,32.0,S1,Purchasing Staff,https://id.jobstreet.com/id/job/84953021,3750000.0,43,5
Lainnya,32.0,S1,Workshop Manager,https://id.jobstreet.com/id/job/85562535,16500000.0,29,5
Sales,32.0,S1,Supply Chain Executive APAC,https://id.jobstreet.com/id/job/84871520,14000000.0,48,5
Lainnya,32.0,S1,Staff Akunting,https://id.jobstreet.com/id/job/85547524,3750000.0,29,5
Sales,32.0,S1,Sales & Marketing Manager,https://id.jobstreet.com/id/job/85364526,12500000.0,48,5
Finance,32.0,S1,"Finance, Accounting & Tax Staff",https://id.jobstreet.com/id/job/85264703,4250000.0,20,5
Management,32.0,S1,Management Trainee Marketing,https://id.jobstreet.com/id/job/85566469,6125000.0,33,5
Lainnya,32.0,S1,Quantity Surveyor,https://id.jobstreet.com/id/job/85307814,7000000.0,29,5
Lainnya,32.0,S1,Research and Development ( R & D ),https://id.jobstreet.com/id/job/85424847,7000000.0,29,5
Social Media,32.0,S1,Creative Strategist,https://id.jobstreet.com/id/job/85563006,5000000.0,51,5
Sales,32.0,S1,Sales Supervisor,https://id.jobstreet.com/id/job/85581624,6000000.0,48,5
Tutor,32.0,S1,Tutor Matematika,https://id.jobstreet.com/id/job/85298554,6250000.0,58,5
Technician,32.0,S1,Kitchen Equipment Technician,https://id.jobstreet.com/id/job/85064037,6500000.0,55,5
Perawat,32.0,S1,Perawat,https://id.jobstreet.com/id/job/84723360,5000000.0,38,5
Lainnya,32.0,S1,Field Collection (Medan),https://id.jobstreet.com/id/job/85421802,4500000.0,29,5
Graphic Designer,32.0,S1,GRAPHIC DESIGNER,https://id.jobstreet.com/id/job/85372221,4315000.0,23,5
Lainnya,32.0,Master,STAFF PAJAK,https://id.jobstreet.com/id/job/85587246,4250000.0,29,4
Lainnya,32.0,S1,OPERATIONAL SUPERVISOR – FORWARDING LOGISTICS,https://id.jobstreet.com/id/job/84966672,8500000.0,29,5
Lainnya,32.0,S1,Data analis,https://id.jobstreet.com/id/job/85603313,6250000.0,29,5
Lainnya,32.0,S1,Field Collection (Palembang),https://id.jobstreet.com/id/job/85593786,4500000.0,29,5
Admin,32.0,S1,Admin Sarjana Hukum Mahir Bahasa Inggris Rental Motor di BALI,https://id.jobstreet.com/id/job/85174505,3400000.0,1,5
Sales,32.0,S1,Sales Admin & E-commerce,https://id.jobstreet.com/id/job/85683703,6000000.0,48,5
Mechanic,32.0,S1,tangki Mechanical Engineering,https://id.jobstreet.com/id/job/85097773,8500000.0,35,5
Management,32.0,S1,BRANCH MANAGEMENT SERVICE,https://id.jobstreet.com/id/job/85604641,8000000.0,33,5
Lainnya,32.0,S1,Chinese Translator,https://id.jobstreet.com/id/job/85310658,12500000.0,29,5
Lainnya,32.0,S1,General Affair (Security Specialist),https://id.jobstreet.com/id/job/84889213,7000000.0,29,5
Lainnya,32.0,S1,Cleaning Service (Housekeeping),https://id.jobstreet.com/id/job/85434669,3325000.0,29,5
Lainnya,32.0,S1,System Analyst,https://id.jobstreet.com/id/job/85166406,7000000.0,29,5
Lainnya,32.0,S1,FINANCIAL ADVISOR - GAMBIR,https://id.jobstreet.com/id/job/85625774,4250000.0,29,5
