Kategori Lowongan,Umur,Pendidikan,Title,Link,Gaji_Rata2,Kategori_Encoded,Pendidikan_Encoded
Finance,32.0,S1,Admin finance,https://id.jobstreet.com/id/job/85107299,4375000.0,20,5
Lainnya,32.0,S1,E-commerce Specialist,https://id.jobstreet.com/id/job/84874038,7500000.0,29,5
Lainnya,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85095246,5500000.0,29,5
Tax,32.0,S1,ADMIN TAX,https://id.jobstreet.com/id/job/85688453,3875000.0,54,5
Lainnya,32.0,S1,Accounting,https://id.jobstreet.com/id/job/84977278,4500000.0,29,5
Business Development,32.0,S1,business development assistant,https://id.jobstreet.com/id/job/84957755,8000000.0,9,5
Retail,32.0,S1,Merchandising Manager,https://id.jobstreet.com/id/job/84944902,12500000.0,47,5
Admin,32.0,S1,Admin Stok & Data Product Toko,https://id.jobstreet.com/id/job/85039356,4000000.0,1,5
Lainnya,32.0,S1,STAFF PAJAK,https://id.jobstreet.com/id/job/85574042,4750000.0,29,5
Sales,30.0,S1,ADMIN SUPPORT SALES,https://id.jobstreet.com/id/job/85667828,3750000.0,48,5
Admin,32.0,S1,Admin  E-commerce & Host Live,https://id.jobstreet.com/id/job/85263408,3600000.0,1,5
Tax,32.0,S1,Accounting & Tax Staff,https://id.jobstreet.com/id/job/85665655,5500000.0,54,5
Finance,32.0,S1,Finance Staff,https://id.jobstreet.com/id/job/85297474,7000000.0,20,5
Lainnya,32.0,S1,Junior Accounting,https://id.jobstreet.com/id/job/85034587,5000000.0,29,5
Lainnya,32.0,S1,Staff HR,https://id.jobstreet.com/id/job/85426216,5480900.0,29,5
Logistik,32.0,S1,Warehouse Delivery Admin,https://id.jobstreet.com/id/job/85440110,4325000.0,31,5
Lainnya,32.0,S1,Assistant CEO,https://id.jobstreet.com/id/job/84819315,14000000.0,29,5
Quality Control,32.0,S1,Quality Control,https://id.jobstreet.com/id/job/85015691,5000000.0,45,5
Management,32.0,S1,Import SPV,https://id.jobstreet.com/id/job/85133772,7000000.0,33,5
Finance,32.0,S1,Administrative Assistant Supervisor/Finance Spv,https://id.jobstreet.com/id/job/85604981,10000000.0,20,5
Lainnya,32.0,S1,Staf Marketing,https://id.jobstreet.com/id/job/85107513,7000000.0,29,5
Sales,32.0,S1,Admin Sales,https://id.jobstreet.com/id/job/85104257,4880900.0,48,5
Lainnya,32.0,S1,Staff Marketing,https://id.jobstreet.com/id/job/85567850,6250000.0,29,5
Finance,32.0,S1,GM Operation,https://id.jobstreet.com/id/job/85364514,35000000.0,20,5
Lainnya,32.0,S1,IT SUPERVISOR,https://id.jobstreet.com/id/job/85092483,7300000.0,29,5
Management,32.0,S1,Project Management,https://id.jobstreet.com/id/job/85097233,7000000.0,33,5
Lainnya,32.0,S1,DRIVER (PENGEMUDI),https://id.jobstreet.com/id/job/85364432,7000000.0,29,5
Lainnya,32.0,S1,Estate Manager,https://id.jobstreet.com/id/job/85685098,15000000.0,29,5
Lainnya,32.0,S1,Executive Assistant,https://id.jobstreet.com/id/job/85092458,8000000.0,29,5
Admin,32.0,S1,Creative Studio Assistant,https://id.jobstreet.com/id/job/84904245,5700000.0,1,5
Lainnya,32.0,S1,[DAIHATSU] Marketing Executive,https://id.jobstreet.com/id/job/85292114,5750000.0,29,5
Lainnya,32.0,S1,Staff Perkebunan (Asisten Perkebunan),https://id.jobstreet.com/id/job/85579967,4750000.0,29,5
Sales,32.0,S1,Sales,https://id.jobstreet.com/id/job/84381402,9000000.0,48,5
Lainnya,32.0,S1,Regulatory Affairs Staff,https://id.jobstreet.com/id/job/85130430,6500000.0,29,5
Lainnya,32.0,S1,Trend Researcher Staff,https://id.jobstreet.com/id/job/85600333,6500000.0,29,5
Finance,32.0,S1,Admin (Jakarta),https://id.jobstreet.com/id/job/85677826,2800000.0,20,5
Finance,32.0,S1,Finance Specialist,https://id.jobstreet.com/id/job/85608860,7000000.0,20,5
Akuntan,32.0,S1,AKUNTAN,https://id.jobstreet.com/id/job/85665537,7500000.0,2,5
Maintenance,32.0,S1,Maintenance Staff (Mesin & Elektro),https://id.jobstreet.com/id/job/85629263,5000000.0,32,5
Sales,32.0,S1,Sales Admin,https://id.jobstreet.com/id/job/85684663,5500000.0,48,5
Lainnya,32.0,S1,KEPALA DEPO,https://id.jobstreet.com/id/job/84950176,10000000.0,29,5
Lainnya,32.0,S1,WAKIL KEPALA SEKOLAH SD,https://id.jobstreet.com/id/job/85106148,4500000.0,29,5
Lainnya,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/85264936,6350000.0,29,5
Lainnya,32.0,S1,Executive Secretary,https://id.jobstreet.com/id/job/85569512,8000000.0,29,5
Sales,32.0,S1,Jr. National Sales Manager,https://id.jobstreet.com/id/job/84979865,15000000.0,48,5
Akuntan,32.0,S1,Supervisor Finance Accounting,https://id.jobstreet.com/id/job/84901656,9000000.0,2,5
Management,32.0,S1,Danamon Banking Officer Trainee (Kota Morowali),https://id.jobstreet.com/id/job/85599489,8500000.0,33,5
Lainnya,32.0,S1,Content Specialist,https://id.jobstreet.com/id/job/85068919,7000000.0,29,5
Legal,32.0,S1,Legal Officer,https://id.jobstreet.com/id/job/84967108,7000000.0,30,5
Admin,32.0,S1,People & Culture (HR) and Admin Support,https://id.jobstreet.com/id/job/85595351,7000000.0,1,5
Lainnya,32.0,S1,Nurse,https://id.jobstreet.com/id/job/85544930,5500000.0,29,5
Sales,32.0,S1,MARKETING SUPPORT,https://id.jobstreet.com/id/job/84860861,4500000.0,48,5
Lainnya,32.0,S1,Teknisi,https://id.jobstreet.com/id/job/85683825,4000000.0,29,5
Purchasing,32.0,S1,Purchasing & Crew Staf Officer,https://id.jobstreet.com/id/job/84890169,4500000.0,43,5
Lainnya,32.0,S1,Trainer Host,https://id.jobstreet.com/id/job/85438272,10000000.0,29,5
Customer Service,32.0,S1,Operation cum Customer Service Executive,https://id.jobstreet.com/id/job/85682321,6100000.0,14,5
Lainnya,32.0,S1,EXIM Operational Lead,https://id.jobstreet.com/id/job/85027895,8000000.0,29,5
Lainnya,32.0,S1,CONTENT CREATOR,https://id.jobstreet.com/id/job/85567708,4125000.0,29,5
It Support,32.0,S1,IT Support & Admin Odoo,https://id.jobstreet.com/id/job/85122599,4250000.0,28,5
Sales,32.0,S1,Sales Trainee Program (Seleksi Yogyakarta) - Penempatan Kerja Seluruh Indonesia,https://id.jobstreet.com/id/job/85477580,5250000.0,48,5
Lainnya,32.0,S1,DRIVER,https://id.jobstreet.com/id/job/84861004,6000000.0,29,5
Lainnya,32.0,S1,Creative Designer,https://id.jobstreet.com/id/job/85166067,6250000.0,29,5
Retail,32.0,S1,E-commerce Specialist,https://id.jobstreet.com/id/job/85107437,7000000.0,47,5
Sales,35.0,"D3,Diploma",Admin Sales,https://id.jobstreet.com/id/job/85120246,4250000.0,48,2
Management,32.0,S1,HUMAN RESOURCE,https://id.jobstreet.com/id/job/85475899,5937500.0,33,5
Lainnya,32.0,S1,Junior Accounting,https://id.jobstreet.com/id/job/85001218,6500000.0,29,5
Finance,32.0,S1,"Quality Control, Admin & Finance, Supervisor, HR",https://id.jobstreet.com/id/job/85470167,8750000.0,20,5
Lainnya,32.0,S1,Staff Accounting,https://id.jobstreet.com/id/job/85547790,5823380.5,29,5
Lainnya,32.0,S1,Ecommerce Specialist,https://id.jobstreet.com/id/job/85421741,7250000.0,29,5
Akuntan,32.0,S1,Admin Sarjana Akuntansi Mahir Bahasa Inggris untuk Rental Motor di BALI,https://id.jobstreet.com/id/job/85309222,3400000.0,2,5
Audit,32.0,S1,Legal & Compliance Staff,https://id.jobstreet.com/id/job/85595317,8250000.0,5,5
Finance,32.0,S1,Finance Personnel,https://id.jobstreet.com/id/job/84982481,11850000.0,20,5
Customer Service,32.0,S1,Customer Service,https://id.jobstreet.com/id/job/85632729,4000000.0,14,5
Lainnya,32.0,S1,General Assistant,https://id.jobstreet.com/id/job/84899707,4500000.0,29,5
Lainnya,32.0,S1,EXPORT IMPORT & CUSTOM STAFF,https://id.jobstreet.com/id/job/85270892,6500000.0,29,5
Admin,32.0,S1,Admin Piutang,https://id.jobstreet.com/id/job/85490089,4600000.0,1,5
Perawat,32.0,S1,Perawat (Staff),https://id.jobstreet.com/id/job/85361807,4750000.0,38,5
Social Media,32.0,S1,Social Media Specialist,https://id.jobstreet.com/id/job/85038356,6500000.0,51,5
Lainnya,32.0,"S1,Bachelor",Automation Engineer,https://id.jobstreet.com/id/job/85305032,6000000.0,29,6
Akuntan,32.0,D3,Staff Administrasi Kantor,https://id.jobstreet.com/id/job/85682076,4250000.0,2,1
Lainnya,32.0,S1,Chief Security,https://id.jobstreet.com/id/job/85372522,4750000.0,29,5
Lainnya,32.0,S1,MANAGER KEUANGAN DAN PERENCANAAN STRATEGIS,https://id.jobstreet.com/id/job/84862425,13000000.0,29,5
Sales,32.0,S1,Sales Supervisor Jabodetabek,https://id.jobstreet.com/id/job/84919179,8500000.0,48,5
Tax,32.0,S1,STAFF ACCOUNT PAYABLE,https://id.jobstreet.com/id/job/85268030,7000000.0,54,5
Lainnya,32.0,S1,Account Receivable Staff,https://id.jobstreet.com/id/job/85259429,5250000.0,29,5
Production,32.0,S1,Production Technician,https://id.jobstreet.com/id/job/85133075,5250000.0,40,5
Lainnya,32.0,S1,PROJECT ENGINEERING,https://id.jobstreet.com/id/job/85491462,7750000.0,29,5
Lainnya,32.0,S1,WAKIL KEPALA SEKOLAH SD,https://id.jobstreet.com/id/job/85104326,4500000.0,29,5
Management,32.0,S1,Engineering Staff,https://id.jobstreet.com/id/job/84873770,5320380.0,33,5
Telemarketing,32.0,S1,Telemarketing Staff,https://id.jobstreet.com/id/job/85591430,5500000.0,56,5
Hotel,32.0,S1,FRONT OFFICE HOTEL,https://id.jobstreet.com/id/job/85540224,2100000.0,25,5
Sales,32.0,S1,Customer Service & Sales Support,https://id.jobstreet.com/id/job/85364619,3500000.0,48,5
Lainnya,32.0,S1,Asisten Supervisor,https://id.jobstreet.com/id/job/84948494,4000000.0,29,5
Lainnya,32.0,S1,Research & Development R&D Staff Chemist,https://id.jobstreet.com/id/job/85092920,5200000.0,29,5
Finance,32.0,S1,Finance Accounting Staff,https://id.jobstreet.com/id/job/85623910,4500000.0,20,5
Lainnya,32.0,S1,System and Part Development Executive,https://id.jobstreet.com/id/job/85546624,10625000.0,29,5
Admin,32.0,S1,Import Staff,https://id.jobstreet.com/id/job/85266841,8000000.0,1,5
Lainnya,32.0,S1,Staf Kantor,https://id.jobstreet.com/id/job/85077127,3750000.0,29,5
Social Media,32.0,S1,Social Media Specialist & KOL,https://id.jobstreet.com/id/job/84860884,5000000.0,51,5
Lainnya,32.0,S1,Personal Assistant,https://id.jobstreet.com/id/job/84872437,17500000.0,29,5
Sales,32.0,S1,Area Sales Manager ( General Trade - Jabodetabek ),https://id.jobstreet.com/id/job/84950011,17000000.0,48,5
Photographer,32.0,S1,Photographer,https://id.jobstreet.com/id/job/85565999,6450000.0,39,5
Sales,32.0,"SMK,SMA",Telesales,https://id.jobstreet.com/id/job/84903459,3750000.0,48,11
Customer Service,32.0,S1,Customer Service,https://id.jobstreet.com/id/job/85051349,4750000.0,14,5
Social Media,32.0,S1,Content Creator,https://id.jobstreet.com/id/job/85619418,6000000.0,51,5
Training,32.0,S1,Product Content Creator,https://id.jobstreet.com/id/job/84984288,7250000.0,57,5
Purchasing,32.0,S1,PURCHASING STAFF,https://id.jobstreet.com/id/job/84888698,4250000.0,43,5
Lainnya,32.0,S1,Barista,https://id.jobstreet.com/id/job/85063721,8000000.0,29,5
Lainnya,32.0,S1,Accounting Staff,https://id.jobstreet.com/id/job/84893548,5250000.0,29,5
Finance,32.0,S1,Finance & Accounting Staff,https://id.jobstreet.com/id/job/85037486,6000000.0,20,5
Lainnya,32.0,S1,Distribution Operations Expert,https://id.jobstreet.com/id/job/85439109,10000000.0,29,5
Logistik,32.0,S1,Staff Operasional Ekspor & Logistik,https://id.jobstreet.com/id/job/85628820,4375000.0,31,5
Lainnya,32.0,S1,Talent Acquisition,https://id.jobstreet.com/id/job/84949114,6500000.0,29,5
Lainnya,32.0,S1,Staff Accounting,https://id.jobstreet.com/id/job/84875382,5980900.0,29,5
Finance,32.0,S1,Admin (Jakarta Selatan),https://id.jobstreet.com/id/job/85100389,2900000.0,20,5
Lainnya,32.0,S1,Quantity Surveyor,https://id.jobstreet.com/id/job/85205560,17500000.0,29,5
Finance,32.0,S1,Finance Associate,https://id.jobstreet.com/id/job/85632680,4850000.0,20,5
Bidan,32.0,S1,AI Engineer,https://id.jobstreet.com/id/job/85038678,10500000.0,7,5
Lainnya,32.0,S1,Staff Pembebasan Lahan,https://id.jobstreet.com/id/job/85129580,7500000.0,29,5
Akuntan,32.0,S1,Staff Administrasi Finance Accounting and Tax,https://id.jobstreet.com/id/job/84999098,6500000.0,2,5
Lainnya,32.0,S1,Customs Clearance Staff – PPJK,https://id.jobstreet.com/id/job/85572070,6750000.0,29,5
Finance,32.0,S1,Finance and Accounting Staff,https://id.jobstreet.com/id/job/85171102,6250000.0,20,5
Apoteker,32.0,S1,Research & Development (Apoteker) Staff,https://id.jobstreet.com/id/job/85147567,5250000.0,3,5
Lainnya,32.0,S1,Staff Account Payable,https://id.jobstreet.com/id/job/85628062,5500000.0,29,5
Finance,32.0,S1,finance,https://id.jobstreet.com/id/job/85000721,7000000.0,20,5
Lainnya,24.0,S1,Proposal Maker,https://id.jobstreet.com/id/job/85199561,4750000.0,29,5
Sales,32.0,S1,SALES SPV ODS (OFFICE DIGITALIZATION SYSTEM),https://id.jobstreet.com/id/job/85064815,7250000.0,48,5
Lainnya,32.0,S1,Staff Accounting,https://id.jobstreet.com/id/job/85554858,6000000.0,29,5
Lainnya,32.0,S1,Surveyor Design,https://id.jobstreet.com/id/job/85671489,6000000.0,29,5
Sales,32.0,S1,Staff Gudang,https://id.jobstreet.com/id/job/85077746,3500000.0,48,5
Lainnya,32.0,S1,Staf Rekrutmen & Seleksi,https://id.jobstreet.com/id/job/85531229,4750000.0,29,5
Purchasing,32.0,S1,purchasing staff,https://id.jobstreet.com/id/job/85556144,4750000.0,43,5
Recruitment,32.0,S1,Recruitment & Workforce Coordinator,https://id.jobstreet.com/id/job/84570072,5250000.0,46,5
Lainnya,32.0,S1,Process Engineer,https://id.jobstreet.com/id/job/85677939,7875000.0,29,5
Lainnya,32.0,S1,Brand Communication Manager,https://id.jobstreet.com/id/job/85562972,14500000.0,29,5
Lainnya,32.0,S1,Staff Operasional Villa,https://id.jobstreet.com/id/job/85548353,3750000.0,29,5
Lainnya,32.0,S1,KOL Spesialist,https://id.jobstreet.com/id/job/85627457,7000000.0,29,5
Retail,32.0,S1,Staff Accounting Specialist,https://id.jobstreet.com/id/job/84876600,4750000.0,47,5
Lainnya,32.0,S1,STAF OUTSOURCING DAN JASA PENGAMANAN,https://id.jobstreet.com/id/job/85626576,4500000.0,29,5
Finance,32.0,S1,Senior Finance Specialist,https://id.jobstreet.com/id/job/85128301,6500000.0,20,5
Lainnya,32.0,S1,AR & COLLECTION STAFF,https://id.jobstreet.com/id/job/85101881,6500000.0,29,5
Finance,32.0,S1,Finance Staff,https://id.jobstreet.com/id/job/85015216,5400000.0,20,5
Business Development,32.0,S1,Business Development Executive,https://id.jobstreet.com/id/job/84998406,6750000.0,9,5
